,Keywords,TF_IDF,Raw_Count
0,java,-0.04255961441879589,105
1,basic,-0.02837307627919726,35
2,guru,-0.025941098312408924,23
3,right,-0.025941098312408924,23
4,reserved,0.08252609930723652,19
16,basicsjava,0.359372179392254,11
39,string,0.7550509529082342,13
12,garbage,0.7920958908617161,4
64,note,0.7993628256402638,5
31,applet,0.8502313690900989,12
68,typename,0.8995884967590474,3
79,integer,0.9079180198771869,4
40,system,0.9079180198771869,4
71,primitive,0.9079180198771869,4
23,array,0.9079180198771869,4
61,parameter,0.9162475429953263,5
76,button,1.0101039342181515,34
84,every,1.0378398391282442,2
36,simple,1.0378398391282442,2
95,title,1.0378398391282442,2
53,hello,1.0378398391282442,2
55,wide,1.0378398391282442,2
56,web,1.0378398391282442,2
57,trivialapplet,1.0378398391282442,2
54,world,1.0378398391282442,2
69,name,1.0378398391282442,2
89,object,1.0378398391282442,2
127,data,1.1328151440669487,31
91,buttonnull,1.2328037416625506,1
101,initializersvariables,1.2328037416625506,1
100,nullpointerexception,1.2328037416625506,1
80,byte,1.2328037416625506,1
81,float,1.2328037416625506,1
86,int,1.2328037416625506,1
99,arrayindexoutofboundsexception,1.2328037416625506,1
96,multi,1.2328037416625506,1
87,objectsin,1.2328037416625506,1
82,double,1.2328037416625506,1
85,stringbuffer,1.2328037416625506,1
88,generic,1.2328037416625506,1
102,objectsbutton,1.2328037416625506,1
83,stringsjava,1.2328037416625506,1
92,create,1.2328037416625506,1
97,thisstatement,1.2328037416625506,1
104,arraysint,1.2328037416625506,1
109,constant,1.2328037416625506,1
106,owner,1.2328037416625506,1
139,put,1.2328037416625506,1
138,memory,1.2328037416625506,1
137,javaobject,1.2328037416625506,1
136,collectionan,1.2328037416625506,1
134,javavariables,1.2328037416625506,1
133,pointer,1.2328037416625506,1
132,equalitytwo,1.2328037416625506,1
131,valuesarguments,1.2328037416625506,1
130,return,1.2328037416625506,1
129,method,1.2328037416625506,1
128,cloneable,1.2328037416625506,1
126,objectsassignment,1.2328037416625506,1
125,assignment,1.2328037416625506,1
124,semanticswe,1.2328037416625506,1
123,statementsstatementexamplesifif,1.2328037416625506,1
122,common,1.2328037416625506,1
121,form,1.2328037416625506,1
120,statementsjava,1.2328037416625506,1
119,operatorsthe,1.2328037416625506,1
118,tnew,1.2328037416625506,1
117,listobj,1.2328037416625506,1
116,description,1.2328037416625506,1
115,general,1.2328037416625506,1
114,unicode,1.2328037416625506,1
113,jim,1.2328037416625506,1
112,listqualified,1.2328037416625506,1
111,descriptionidi,1.2328037416625506,1
108,expressionsmost,1.2328037416625506,1
107,terence,1.2328037416625506,1
105,constantsvariables,1.2328037416625506,1
78,storing,1.2328037416625506,1
141,javabasics,1.2328037416625506,1
75,objectsa,1.2328037416625506,1
43,executionan,1.2328037416625506,1
42,startingclassname,1.2328037416625506,1
41,javalanguage,1.2328037416625506,1
13,semanticsportabilityjava,1.2328037416625506,1
77,buttonobject,1.2328037416625506,1
37,applicationconsider,1.2328037416625506,1
35,executionthe,1.2328037416625506,1
34,unlike,1.2328037416625506,1
33,aplications,1.2328037416625506,1
32,application,1.2328037416625506,1
44,creates,1.2328037416625506,1
30,standalone,1.2328037416625506,1
14,portability,1.2328037416625506,1
27,interface,1.2328037416625506,1
26,robustnessthe,1.2328037416625506,1
25,socket,1.2328037416625506,1
24,browser,1.2328037416625506,1
22,interpreter,1.2328037416625506,1
21,securitythe,1.2328037416625506,1
20,netscapenavigator,1.2328037416625506,1
19,macapplication,1.2328037416625506,1
18,window,1.2328037416625506,1
29,structurea,1.2328037416625506,1
17,javaruntime,1.2328037416625506,1
45,instance,1.2328037416625506,1
46,final,1.2328037416625506,1
74,typedescriptionbooleantrue,1.2328037416625506,1
73,typesprimitive,1.2328037416625506,1
72,typesthe,1.2328037416625506,1
140,version,1.2328037416625506,1
67,variable,1.2328037416625506,1
66,declarationsa,1.2328037416625506,1
65,blah,1.2328037416625506,1
63,commentsjava,1.2328037416625506,1
62,paramtest,1.2328037416625506,1
5,basicstopics,1.2328037416625506,1
11,statement,1.2328037416625506,1
6,language,1.2328037416625506,1
58,forexample,1.2328037416625506,1
7,part,1.2328037416625506,1
8,comment,1.2328037416625506,1
52,appletthe,1.2328037416625506,1
51,ifyou,1.2328037416625506,1
9,declaration,1.2328037416625506,1
10,expression,1.2328037416625506,1
49,applettemplate,1.2328037416625506,1
48,therefore,1.2328037416625506,1
47,frameremoves,1.2328037416625506,1
59,interfacethe,1.2328037416625506,1
15,internet,1.2328037416625506,1
110,expressionsitemexamples,1.2444339656404992,2
103,employee,1.2444339656404992,2
98,accessing,1.2444339656404992,2
94,init,1.2444339656404992,2
90,buttonsbutton,1.2444339656404992,2
60,appletname,1.2444339656404992,2
28,program,1.2444339656404992,2
70,vector,1.2444339656404992,2
38,trivialapplication,1.2560641896184477,3
50,graphic,1.2560641896184477,3
93,allocate,1.2560641896184477,3
135,stack,1.2909548615522937,6
